unit_hl_2,af_hl_2,af_ol,TN,FP,FN,TP,accuracy_score,precision_0,precision_1,recall_0,recall_1,F1_score_0,F1_score_1,macro_avg_precision,macro_avg_recall,macro_avg_F1score,weighted_avg_precision,weighted_avg_recall,weighted_avg_F1score,AUC_score
1,relu,relu,258,0,94,0,0.7329545454545454,0.7329545454545454,0.0,1.0,0.0,0.8459016393442622,0.0,0.3664772727272727,0.5,0.4229508196721311,0.5372223657024793,0.7329545454545454,0.6200074515648285,0.5
1,relu,sigmoid,258,0,94,0,0.7329545454545454,0.7329545454545454,0.0,1.0,0.0,0.8459016393442622,0.0,0.3664772727272727,0.5,0.4229508196721311,0.5372223657024793,0.7329545454545454,0.6200074515648285,0.5
1,relu,tanh,247,11,33,61,0.875,0.8821428571428571,0.8472222222222222,0.9573643410852714,0.648936170212766,0.9182156133828997,0.7349397590361446,0.8646825396825397,0.8031502556490187,0.8265776862095222,0.8728174603174602,0.875,0.869272629551664,0.19684974435098138
1,sigmoid,relu,258,0,94,0,0.7329545454545454,0.7329545454545454,0.0,1.0,0.0,0.8459016393442622,0.0,0.3664772727272727,0.5,0.4229508196721311,0.5372223657024793,0.7329545454545454,0.6200074515648285,0.5
1,sigmoid,sigmoid,248,10,42,52,0.8522727272727273,0.8551724137931035,0.8387096774193549,0.9612403100775194,0.5531914893617021,0.905109489051095,0.6666666666666666,0.8469410456062292,0.7572158997196108,0.7858880778588808,0.8507761148751137,0.8522727272727273,0.8414344171643443,0.24278410028038924
1,sigmoid,tanh,258,0,94,0,0.7329545454545454,0.7329545454545454,0.0,1.0,0.0,0.8459016393442622,0.0,0.3664772727272727,0.5,0.4229508196721311,0.5372223657024793,0.7329545454545454,0.6200074515648285,0.5
1,tanh,relu,251,7,34,60,0.8835227272727273,0.8807017543859649,0.8955223880597015,0.9728682170542635,0.6382978723404256,0.9244935543278083,0.7453416149068323,0.8881120712228332,0.8055830446973445,0.8349175846173202,0.8846595372420196,0.8835227272727273,0.8766518432324341,0.19441695530265546
1,tanh,sigmoid,251,7,33,61,0.8863636363636364,0.8838028169014085,0.8970588235294118,0.9728682170542635,0.648936170212766,0.9261992619926199,0.7530864197530864,0.8904308202154101,0.8109021936335148,0.8396428408728531,0.8873427732168412,0.8863636363636364,0.8799702643491081,0.18909780636648527
1,tanh,tanh,255,3,47,47,0.8579545454545454,0.8443708609271523,0.94,0.9883720930232558,0.5,0.9107142857142857,0.6527777777777778,0.8921854304635761,0.7441860465116279,0.7817460317460317,0.8699081878386514,0.8579545454545454,0.8418335137085138,0.2558139534883721
2,relu,relu,258,0,94,0,0.7329545454545454,0.7329545454545454,0.0,1.0,0.0,0.8459016393442622,0.0,0.3664772727272727,0.5,0.4229508196721311,0.5372223657024793,0.7329545454545454,0.6200074515648285,0.5
2,relu,sigmoid,248,10,33,61,0.8778409090909091,0.8825622775800712,0.8591549295774648,0.9612403100775194,0.648936170212766,0.9202226345083488,0.7393939393939394,0.870858603578768,0.8050882401451427,0.8298082869511441,0.8763114516930116,0.8778409090909091,0.87193315342666,0.19491175985485734
2,relu,tanh,247,11,31,63,0.8806818181818182,0.8884892086330936,0.8513513513513513,0.9573643410852714,0.6702127659574468,0.9216417910447762,0.75,0.8699202799922224,0.8137885535213591,0.835820895522388,0.8785717126544464,0.8806818181818182,0.8758056309362281,0.18621144647864094
2,sigmoid,relu,250,8,54,40,0.8238636363636364,0.8223684210526315,0.8333333333333334,0.9689922480620154,0.425531914893617,0.8896797153024911,0.5633802816901409,0.8278508771929824,0.6972620814778162,0.726529998496316,0.8252965510366826,0.8238636363636364,0.8025429347355566,0.30273791852218374
2,sigmoid,sigmoid,248,10,40,54,0.8579545454545454,0.8611111111111112,0.84375,0.9612403100775194,0.574468085106383,0.9084249084249085,0.6835443037974684,0.8524305555555556,0.7678541975919513,0.7959846061111885,0.8564749053030304,0.8579545454545454,0.848371565143717,0.2321458024080488
2,sigmoid,tanh,249,9,48,46,0.8380681818181818,0.8383838383838383,0.8363636363636363,0.9651162790697675,0.48936170212765956,0.8972972972972972,0.6174496644295302,0.8373737373737373,0.7272389905987136,0.7573734808634137,0.8378443526170798,0.8380681818181818,0.8225652589746549,0.2727610094012865
2,tanh,relu,251,7,51,43,0.8352272727272727,0.8311258278145696,0.86,0.9728682170542635,0.4574468085106383,0.8964285714285715,0.5972222222222222,0.8455629139072848,0.7151575127824509,0.7468253968253968,0.8388365442504515,0.8352272727272727,0.8165268759018759,0.2848424872175491
2,tanh,sigmoid,246,12,32,62,0.875,0.8848920863309353,0.8378378378378378,0.9534883720930233,0.6595744680851063,0.917910447761194,0.7380952380952381,0.8613649620843866,0.8065314200890648,0.828002842928216,0.8723264631538012,0.875,0.8698916133617626,0.19346857991093522
2,tanh,tanh,252,6,34,60,0.8863636363636364,0.8811188811188811,0.9090909090909091,0.9767441860465116,0.6382978723404256,0.9264705882352942,0.75,0.8951048951048951,0.8075210291934686,0.8382352941176471,0.8885886840432295,0.8863636363636364,0.8793449197860962,0.19247897080653142
3,relu,relu,253,5,31,63,0.8977272727272727,0.8908450704225352,0.9264705882352942,0.9806201550387597,0.6702127659574468,0.9335793357933578,0.7777777777777778,0.9086578293289147,0.8254164604981032,0.8556785567855678,0.9003587030202606,0.8977272727272727,0.8919732379141972,0.17458353950189673
